origId,d,T,d_nm,Points:0,Points:1,Points:2,iceLabel
3662,2e-08,694.13,20.0,-1.4651,0.62193,-3.4775e-11,0
3678,2e-08,693.7,20.0,-1.4274,0.42323999999999995,-9.4218e-11,0
3674,2e-08,693.82,20.0,-1.4478,0.50646,3.5737e-10,0
1737,2e-08,247.9,20.0,-1.2,1.1345,-2.1320999999999997e-09,0
3685,2e-08,693.66,20.0,-1.4275,0.35458,-1.4633000000000003e-10,0
3664,2e-08,694.11,20.0,-1.4754,0.61675,2.3561999999999998e-09,0
3655,2e-08,694.43,20.0,-1.5011,0.71565,1.6322e-09,0
3665,2e-08,694.34,20.0,-1.4901,0.63763,3.3362000000000003e-10,0
3701,2e-08,693.46,20.0,-1.4340000000000002,0.0077007,0.0,0
3690,2e-08,693.82,20.0,-1.4632,0.34983000000000003,-8.5104e-10,0
3694,2e-08,693.82,20.0,-1.4638,0.32305,-1.7197e-10,0
3670,2e-08,694.44,20.0,-1.5323,0.6627,1.3397999999999999e-09,0
3689,2e-08,694.07,20.0,-1.5067,0.45319,-2.574e-09,0
3691,2e-08,694.07,20.0,-1.5077,0.45015,-2.1079999999999998e-09,0
3686,2e-08,694.11,20.0,-1.5185,0.51012,-1.2773e-09,0
3693,2e-08,694.05,20.0,-1.5161,0.43217,8.941900000000001e-10,0
3667,2e-08,694.65,20.0,-1.5563,0.72205,2.0206e-09,0
3679,2e-08,694.4,20.0,-1.548,0.62233,2.2749e-09,0
3671,2e-08,694.8,20.0,-1.6186,0.80051,1.1884000000000002e-09,0
3709,2e-08,693.88,20.0,-1.5005,0.06383,-2.3402000000000004e-10,0
3688,2e-08,694.33,20.0,-1.5422,0.54565,3.2275e-10,0
3692,2e-08,694.23,20.0,-1.5365,0.48231999999999997,1.8081e-09,0
3669,2e-08,694.82,20.0,-1.6244,0.8174399999999999,-1.1294e-09,0
3704,2e-08,694.11,20.0,-1.5235,0.29758,-1.5379e-09,0
3703,2e-08,694.13,20.0,-1.5292,0.32914,-1.2661e-09,0
3676,2e-08,694.59,20.0,-1.5776,0.6977399999999999,-4.0281e-10,0
3673,2e-08,694.65,20.0,-1.5882,0.73738,-2.0063e-09,0
3699,2e-08,694.39,20.0,-1.5832,0.51051,1.1442999999999999e-09,0
3680,2e-08,694.7,20.0,-1.6067,0.71641,-2.1376999999999998e-09,0
3700,2e-08,694.39,20.0,-1.5881,0.5104,3.7123e-10,0
3705,2e-08,694.35,20.0,-1.5848,0.46241000000000004,7.5178e-10,0
3708,2e-08,694.31,20.0,-1.5817,0.41036999999999996,-8.465e-10,0
3698,2e-08,694.55,20.0,-1.6004,0.56711,1.5587999999999998e-09,0
3682,2e-08,694.71,20.0,-1.6249,0.73527,-9.807399999999999e-10,0
3715,2e-08,694.4,20.0,-1.6021,0.35714,1.6815e-09,0
3697,2e-08,694.76,20.0,-1.6608,0.70084,4.1402e-09,0
3074,2e-08,247.73,20.0,-1.0270000000000001,1.0632,-1.2369000000000001e-09,0
3713,2e-08,694.61,20.0,-1.6639,0.53328,1.4232999999999998e-09,0
3687,2e-08,694.92,20.0,-1.685,0.8122199999999999,-8.1331e-10,0
3695,2e-08,694.89,20.0,-1.6889,0.76578,5.793e-10,0
3730,2e-08,694.41,20.0,-1.6669999999999998,0.25288,2.5806e-10,0
3702,2e-08,694.87,20.0,-1.6911,0.7198100000000001,-1.5889e-09,0
3718,2e-08,694.68,20.0,-1.6835,0.5224300000000001,1.7285e-09,0
3732,2e-08,694.55,20.0,-1.6831,0.27883,-9.980800000000001e-10,0
3712,2e-08,694.77,20.0,-1.6971,0.62583,1.4192000000000002e-09,0
3727,2e-08,694.6,20.0,-1.6909,0.40975,3.6516e-10,0
3714,2e-08,694.78,20.0,-1.7059,0.63843,1.8025e-09,0
3740,2e-08,694.47,20.0,-1.6916,0.0559,-2.1733e-11,0
3728,2e-08,694.62,20.0,-1.7042,0.44909,-2.5930999999999997e-09,0
3735,2e-08,694.58,20.0,-1.7043,0.33921999999999997,2.8635e-09,0
3741,2e-08,694.59,20.0,-1.7121,0.16364,-4.1254e-10,0
3739,2e-08,694.63,20.0,-1.7191,0.29624,9.145100000000001e-10,0
3724,2e-08,694.81,20.0,-1.7397,0.60687,3.894e-09,0
3743,2e-08,694.62,20.0,-1.7356,0.26905,1.1514e-09,0
3744,2e-08,694.62,20.0,-1.7357,0.25395999999999996,-1.0794e-09,0
3707,2e-08,695.04,20.0,-1.7508,0.79787,-2.2536999999999998e-09,0
3729,2e-08,694.9,20.0,-1.7541,0.57886,9.135600000000001e-11,0
3737,2e-08,694.82,20.0,-1.7529,0.46828000000000003,1.1756e-09,0
3736,2e-08,694.82,20.0,-1.754,0.48291000000000006,4.3988e-10,0
3725,2e-08,694.94,20.0,-1.7578,0.65646,8.2017e-10,0
3717,2e-08,695.08,20.0,-1.7825,0.78246,-1.0245e-09,0
3722,2e-08,695.06,20.0,-1.7869,0.7541100000000001,-2.0277e-09,0
3753,2e-08,694.7,20.0,-1.7867,0.23509000000000002,8.9924e-11,0
3723,2e-08,695.06,20.0,-1.787,0.75316,-1.2154e-10,0
3721,2e-08,695.2,20.0,-1.8315,0.8667100000000001,-2.2512000000000002e-10,0
3716,2e-08,695.13,20.0,-1.7957,0.82852,5.6477e-09,0
3720,2e-08,695.09,20.0,-1.7982,0.79866,-6.251900000000001e-10,0
3733,2e-08,695.04,20.0,-1.8136,0.7106,4.4871e-09,0
3746,2e-08,694.91,20.0,-1.8159,0.5482199999999999,2.1639e-09,0
3726,2e-08,695.08,20.0,-1.8136,0.78706,-2.4435e-11,0
2955,2e-08,239.95,20.0,-0.34425,1.0815,-6.1867e-09,0
2771,2e-08,239.96,20.0,-0.26602,1.0532,-4.8051e-09,0
2891,2e-08,243.53,20.0,-0.55914,1.0696,-3.6971e-09,0
3153,2e-08,247.98,20.0,-0.81007,0.9837100000000001,1.7707e-09,0
1658,2e-08,242.57,20.0,-0.45059,1.0452,1.432e-09,0
2340,2e-08,249.42,20.0,-0.6722,0.8566600000000001,-8.431999999999999e-09,0
2157,2e-08,250.73,20.0,-0.52386,0.7396699999999999,1.5221e-09,0
3333,2e-08,246.9,20.0,-0.44347,0.83534,4.391e-09,0
3595,2e-08,640.2,20.0,-0.30437,0.21093,6.1759e-10,0
3547,2e-08,651.24,20.0,-0.3861,0.35859,1.7293e-09,0
3605,2e-08,655.29,20.0,-0.40978000000000003,0.18894,1.4539000000000001e-09,0
3619,2e-08,667.45,20.0,-0.5251899999999999,0.13117,-2.1705000000000002e-10,0
3348,2e-08,682.51,20.0,-0.65985,0.44871000000000005,7.7468e-10,0
3591,2e-08,672.24,20.0,-0.57495,0.29572,-7.617699999999999e-10,0
3572,2e-08,672.56,20.0,-0.5906,0.36184,1.3406e-09,0
3561,2e-08,674.71,20.0,-0.60104,0.39165,6.354e-10,0
3620,2e-08,671.68,20.0,-0.5659,0.14792,1.7554e-10,0
3569,2e-08,674.62,20.0,-0.6206699999999999,0.3836,2.0563e-09,0
3601,2e-08,673.86,20.0,-0.61641,0.27644,1.2178e-09,0
3597,2e-08,673.86,20.0,-0.6207699999999999,0.29094000000000003,8.6998e-10,0
3611,2e-08,675.49,20.0,-0.6309,0.23456,-1.0171000000000001e-09,0
3609,2e-08,677.23,20.0,-0.65327,0.26061,-2.9316999999999997e-09,0
3562,2e-08,679.81,20.0,-0.69547,0.42336999999999997,-5.3911e-10,0
3582,2e-08,679.4,20.0,-0.6853,0.36755,2.1114000000000004e-09,0
2824,2e-08,237.36,20.0,-0.8240000000000001,1.2424,6.1001e-10,0
3616,2e-08,676.99,20.0,-0.6723399999999999,0.21775,7.120300000000001e-10,0
3617,2e-08,678.6,20.0,-0.68371,0.22088000000000002,3.1800000000000004e-10,0
3581,2e-08,682.29,20.0,-0.74379,0.40023000000000003,-8.267999999999999e-10,0
3629,2e-08,682.3,20.0,-0.75971,0.17638,-8.305e-10,0
3613,2e-08,682.97,20.0,-0.7894100000000001,0.29923,-1.1099e-09,0
