Area,Length,Points_0,Points_1,Points_2,Points_Magnitude,VertexCount,Volume,Block Number,vtkOriginalCellIds,Point ID,vtkOriginalPointIds
0,0,0.894899,0.0581586,0.0188969,0.896986,0,9.34449e-08,1,155118,77,197896
0,0,0.91701,0.0572557,0.0237161,0.919102,0,9.34449e-08,1,155118,78,225721
0,0,0.894899,0.0564967,0.0234017,0.896986,0,9.34449e-08,1,155118,79,225720
0,0,0.91701,0.0597784,0.0194232,0.919161,0,9.46345e-08,1,155307,80,198085
0,0,0.894899,0.0589826,0.0191646,0.897045,0,9.46345e-08,1,155307,81,198084
0,0,0.91701,0.0580702,0.0240535,0.919161,0,9.46345e-08,1,155307,82,225909
0,0,0.894899,0.0572972,0.0237333,0.897045,0,9.46345e-08,1,155307,83,225908
0,0,0.91701,0.0606161,0.0196954,0.919222,0,9.5975e-08,1,155496,84,198273
0,0,0.894899,0.0598061,0.0194322,0.897106,0,9.5975e-08,1,155496,85,198272
0,0,0.91701,0.058884,0.0243906,0.919222,0,9.5975e-08,1,155496,86,226097
0,0,0.894899,0.0580972,0.0240646,0.897106,0,9.5975e-08,1,155496,87,226096
0,0,0.91701,0.0614547,0.0199678,0.919284,0,9.74905e-08,1,155685,88,198461
0,0,0.894899,0.0606306,0.0197001,0.897167,0,9.61264e-08,1,155716,89,198460
0,0,0.91701,0.0596986,0.024728,0.919284,0,9.74905e-08,1,155685,90,226285
0,0,0.894899,0.058898,0.0243964,0.897167,0,9.61264e-08,1,155716,91,226284
0,0,0.894899,0.0614575,0.0199688,0.897229,0,9.67494e-08,1,155874,92,198648
0,0,0.873248,0.060637,0.0197022,0.875573,0,9.42853e-08,1,155873,93,198647
0,0,0.873248,0.0598237,0.0194379,0.875511,0,9.3398e-08,1,155779,94,198459
0,0,0.894899,0.0597013,0.0247291,0.897229,0,9.67494e-08,1,155874,95,226472
0,0,0.873248,0.0589043,0.0243989,0.875573,0,9.42853e-08,1,155873,96,226471
0,0,0.873248,0.0581142,0.0240717,0.875511,0,9.3398e-08,1,155779,97,226283
0,0,0.91701,0.0622955,0.020241,0.919346,0,9.92135e-08,1,155874,98,198649
0,0,0.91701,0.0605154,0.0250663,0.919346,0,9.92135e-08,1,155874,99,226473
0,0,0.894899,0.0622888,0.0202388,0.897292,0,9.75074e-08,1,156031,100,198836
0,0,0.873248,0.0614549,0.0199679,0.875636,0,9.61954e-08,1,156062,101,198835
0,0,0.894899,0.0605088,0.0250636,0.897292,0,9.75074e-08,1,156031,102,226660
0,0,0.873248,0.0596988,0.024728,0.875636,0,9.61954e-08,1,156062,103,226659
0,0,0.91701,0.0631404,0.0205155,0.91941,0,1.00131e-07,1,155969,104,198837
0,0,0.91701,0.0613361,0.0254062,0.91941,0,1.00131e-07,1,155969,105,226661
0,0,0.894899,0.0631264,0.020511,0.897357,0,9.84093e-08,1,156251,106,199024
0,0,0.873248,0.0622794,0.0202358,0.8757,0,9.84093e-08,1,156251,107,199023
0,0,0.894899,0.0613225,0.0254006,0.897357,0,9.84093e-08,1,156251,108,226848
0,0,0.873248,0.0604997,0.0250598,0.8757,0,9.84093e-08,1,156251,109,226847
0,0,0.894899,0.063973,0.0207861,0.897423,0,1.01004e-07,1,156440,110,199212
0,0,0.873248,0.0631131,0.0205067,0.875766,0,1.01004e-07,1,156440,111,199211
0,0,0.894899,0.0621449,0.0257413,0.897423,0,1.01004e-07,1,156440,112,227036
0,0,0.873248,0.0613096,0.0253953,0.875766,0,1.01004e-07,1,156440,113,227035
0,0,0.894899,0.0648316,0.0210651,0.897492,0,1.04084e-07,1,156629,114,199400
0,0,0.873248,0.0639593,0.0207816,0.875834,0,1.02986e-07,1,156660,115,199399
0,0,0.894899,0.062979,0.0260868,0.897492,0,1.04084e-07,1,156629,116,227224
0,0,0.873248,0.0621317,0.0257358,0.875834,0,1.02986e-07,1,156660,117,227223
0,0,0.873248,0.064822,0.0210619,0.875904,0,1.05289e-07,1,156818,118,199587
0,0,0.852045,0.063956,0.0207806,0.854695,0,1.02779e-07,1,156817,119,199586
0,0,0.852045,0.0631051,0.0205041,0.854625,0,1.00788e-07,1,156723,120,199398
0,0,0.873248,0.0629696,0.0260829,0.875904,0,1.05289e-07,1,156818,121,227411
0,0,0.852045,0.0621284,0.0257344,0.854695,0,1.02779e-07,1,156817,122,227410
0,0,0.852045,0.0613018,0.025392,0.854625,0,1.00788e-07,1,156723,123,227222
0,0,0.894899,0.0657063,0.0213493,0.897562,0,1.07799e-07,1,156818,124,199588
0,0,0.894899,0.0638287,0.0264387,0.897562,0,1.07799e-07,1,156818,125,227412
0,0,0.873248,0.0657063,0.0213493,0.875977,0,1.08103e-07,1,156975,126,199775
0,0,0.852045,0.064829,0.0210642,0.854768,0,1.07236e-07,1,157006,127,199774
0,0,0.873248,0.0638287,0.0264387,0.875977,0,1.08103e-07,1,156975,128,227599
0,0,0.852045,0.0629765,0.0260857,0.854768,0,1.07236e-07,1,157006,129,227598
0,0,0.894899,0.0666021,0.0216403,0.897635,0,1.09837e-07,1,156913,130,199776
0,0,0.894899,0.0646989,0.0267991,0.897635,0,1.09837e-07,1,156913,131,227600
0,0,0.873248,0.0666191,0.0216459,0.876053,0,1.10301e-07,1,157195,132,199963
0,0,0.852045,0.0657313,0.0213574,0.854844,0,1.10301e-07,1,157195,133,199962
0,0,0.873248,0.0647155,0.026806,0.876053,0,1.10301e-07,1,157195,134,227787
0,0,0.852045,0.0638529,0.0264488,0.854844,0,1.10301e-07,1,157195,135,227786
0,0,0.873248,0.0675294,0.0219416,0.87613,0,1.11496e-07,1,157384,136,200151
0,0,0.852045,0.066631,0.0216497,0.854921,0,1.11496e-07,1,157384,137,200150
0,0,0.873248,0.0655997,0.0271723,0.87613,0,1.11496e-07,1,157384,138,227975
0,0,0.852045,0.0647269,0.0268108,0.854921,0,1.11496e-07,1,157384,139,227974
0,0,0.873248,0.0684371,0.0222366,0.876208,0,1.12688e-07,1,157573,140,200339
0,0,0.852045,0.0675282,0.0219412,0.854999,0,1.11204e-07,1,157604,141,200338
0,0,0.873248,0.0664815,0.0275375,0.876208,0,1.12688e-07,1,157573,142,228163
0,0,0.852045,0.0655985,0.0271718,0.854999,0,1.11204e-07,1,157604,143,228162
0,0,0.852045,0.068423,0.022232,0.855077,0,1.11341e-07,1,157762,144,200526
0,0,0.831277,0.0675225,0.0219394,0.834304,0,1.08805e-07,1,157761,145,200525
0,0,0.831277,0.0666379,0.021652,0.834225,0,1.08235e-07,1,157667,146,200337
0,0,0.852045,0.0664678,0.0275319,0.855077,0,1.11341e-07,1,157762,147,228350
0,0,0.831277,0.065593,0.0271695,0.834304,0,1.08805e-07,1,157761,148,228349
0,0,0.831277,0.0647337,0.0268136,0.834225,0,1.08235e-07,1,157667,149,228161
0,0,0.873248,0.0693424,0.0225307,0.876287,0,1.13878e-07,1,157762,150,200527
0,0,0.873248,0.0673609,0.0279018,0.876287,0,1.13878e-07,1,157762,151,228351
0,0,0.852045,0.0693155,0.022522,0.855157,0,1.11454e-07,1,157919,152,200714
0,0,0.831277,0.0684049,0.0222261,0.834383,0,1.09945e-07,1,157950,153,200713
0,0,0.852045,0.0673348,0.027891,0.855157,0,1.11454e-07,1,157919,154,228538
0,0,0.831277,0.0664501,0.0275246,0.834383,0,1.09945e-07,1,157950,155,228537
0,0,0.873248,0.0702453,0.0228241,0.876366,0,1.14472e-07,1,157857,156,200715
0,0,0.873248,0.068238,0.0282651,0.876366,0,1.14472e-07,1,157857,157,228539
0,0,0.852045,0.0702058,0.0228112,0.855237,0,1.11083e-07,1,158139,158,200902
0,0,0.831277,0.069285,0.0225121,0.834463,0,1.11083e-07,1,158139,159,200901
0,0,0.852045,0.0681996,0.0282492,0.855237,0,1.11083e-07,1,158139,160,228726
0,0,0.831277,0.0673051,0.0278787,0.834463,0,1.11083e-07,1,158139,161,228725
0,0,0.852045,0.0710938,0.0230998,0.855318,0,1.1222e-07,1,158328,162,201090
0,0,0.831277,0.070163,0.0227973,0.834544,0,1.1222e-07,1,158328,163,201089
0,0,0.852045,0.0690623,0.0286065,0.855318,0,1.1222e-07,1,158328,164,228914
0,0,0.831277,0.0681581,0.028232,0.834544,0,1.1222e-07,1,158328,165,228913
0,0,0.852045,0.0719798,0.0233877,0.8554,0,1.13355e-07,1,158517,166,201278
0,0,0.831277,0.071039,0.023082,0.834626,0,1.11874e-07,1,158548,167,201277
0,0,0.852045,0.0699229,0.028963,0.8554,0,1.13355e-07,1,158517,168,229102
0,0,0.831277,0.069009,0.0285845,0.834626,0,1.11874e-07,1,158548,169,229101
0,0,0.831277,0.0719129,0.0233659,0.834709,0,1.11973e-07,1,158706,170,201465
0,0,0.810933,0.0709815,0.0230633,0.81436,0,1.09457e-07,1,158705,171,201464
0,0,0.810933,0.0701173,0.0227825,0.814278,0,1.08912e-07,1,158611,172,201276
0,0,0.831277,0.069858,0.0289361,0.834709,0,1.11973e-07,1,158706,173,229289
0,0,0.810933,0.0689532,0.0285614,0.81436,0,1.09457e-07,1,158705,174,229288
0,0,0.810933,0.0681137,0.0282136,0.814278,0,1.08912e-07,1,158611,175,229100
0,0,0.852045,0.0728637,0.0236749,0.855483,0,1.1449e-07,1,158706,176,201466
0,0,0.852045,0.0707816,0.0293187,0.855483,0,1.1449e-07,1,158706,177,229290
0,0,0.831277,0.072785,0.0236493,0.834793,0,1.1205e-07,1,158863,178,201653
0,0,0.810933,0.0718439,0.0233435,0.814444,0,1.10547e-07,1,158894,179,201652
0,0,0.831277,0.0707051,0.029287,0.834793,0,1.1205e-07,1,158863,180,229477
0,0,0.810933,0.0697909,0.0289083,0.814444,0,1.10547e-07,1,158894,181,229476
0,0,0.852045,0.0737457,0.0239614,0.855566,0,1.15057e-07,1,158801,182,201654
0,0,0.852045,0.0716383,0.0296736,0.855566,0,1.15057e-07,1,158801,183,229478
0,0,0.831277,0.0736551,0.023932,0.834877,0,1.11636e-07,1,159083,184,201841
0,0,0.810933,0.0727044,0.0236231,0.814528,0,1.11636e-07,1,159083,185,201840
0,0,0.831277,0.0715504,0.0296371,0.834877,0,1.11818e-07,1,168502,186,229665
