,Points:0,Points:1,Points:2
295,0.20127,0.20926999999999998,-0.001826300000000051
296,0.20915999999999998,0.20905,0.0018242999999999998
297,0.20915999999999998,0.20555727439668434,0.03809773632509196
298,0.20915999999999998,0.19581879502782515,0.07321359221033079
299,0.20915999999999998,0.18013046066113692,0.10610489014412394
300,0.20915999999999998,0.1589689533976712,0.135772244682553
301,0.20915999999999998,0.1329772549273891,0.1613142282703735
302,0.20915999999999998,0.10294510985587609,0.1819547606611369
303,0.20915999999999998,0.06978502971413134,0.19706668972276314
304,0.20915999999999998,0.03450456675745164,0.20619084713771987
305,0.20915999999999998,-0.001824299999999987,0.20905
306,0.20915999999999998,-0.03809773632509195,0.20555727439668434
307,0.20915999999999998,-0.07321359221033079,0.19581879502782515
308,0.20915999999999998,-0.10610489014412391,0.18013046066113692
309,0.20915999999999998,-0.135772244682553,0.1589689533976712
310,0.20915999999999998,-0.1613142282703735,0.13297725492738913
311,0.20915999999999998,-0.18195476066113692,0.10294510985587604
312,0.20915999999999998,-0.19706668972276314,0.06978502971413135
313,0.20915999999999998,-0.20619084713771987,0.0345045667574516
314,0.20915999999999998,-0.20905,-0.0018242999999999742
315,0.20915999999999998,-0.20555727439668434,-0.03809773632509199
316,0.20915999999999998,-0.19581879502782515,-0.07321359221033077
317,0.20915999999999998,-0.1801304606611369,-0.10610489014412398
318,0.20915999999999998,-0.1589689533976712,-0.135772244682553
319,0.20915999999999998,-0.13297725492738913,-0.1613142282703735
320,0.20915999999999998,-0.10294510985587615,-0.1819547606611369
321,0.20915999999999998,-0.06978502971413128,-0.19706668972276317
322,0.20915999999999998,-0.034504566757451616,-0.20619084713771987
323,0.20915999999999998,0.0018242999999999615,-0.20905
324,0.20915999999999998,0.038097736325091884,-0.20555727439668436
325,0.20915999999999998,0.07321359221033084,-0.19581879502782512
326,0.20915999999999998,0.10610489014412398,-0.1801304606611369
327,0.20915999999999998,0.135772244682553,-0.15896895339767123
328,0.20915999999999998,0.16131422827037348,-0.13297725492738915
329,0.20915999999999998,0.18195476066113686,-0.10294510985587615
330,0.20915999999999998,0.19706668972276317,-0.0697850297141313
331,0.20915999999999998,0.20619084713771987,-0.03450456675745163
332,0.20915999999999998,0.20905,0.0018242999999999487
333,0.20915999999999998,0.20905,-0.0018242999999999998
334,0.20915999999999998,0.20619084713771987,0.034504566757451616
335,0.20915999999999998,0.19706668972276317,0.06978502971413132
336,0.20915999999999998,0.18195476066113692,0.10294510985587604
337,0.20915999999999998,0.1613142282703735,0.1329772549273891
338,0.20915999999999998,0.135772244682553,0.1589689533976712
339,0.20915999999999998,0.10610489014412398,0.1801304606611369
340,0.20915999999999998,0.0732135922103308,0.19581879502782512
341,0.20915999999999998,0.03809773632509198,0.20555727439668434
342,0.20915999999999998,0.0018243000000000126,0.20905
343,0.20915999999999998,-0.03450456675745161,0.20619084713771987
344,0.20915999999999998,-0.06978502971413132,0.19706668972276317
345,0.20915999999999998,-0.10294510985587602,0.18195476066113692
346,0.20915999999999998,-0.1329772549273891,0.1613142282703735
347,0.20915999999999998,-0.1589689533976712,0.13577224468255303
348,0.20915999999999998,-0.18013046066113692,0.10610489014412394
349,0.20915999999999998,-0.19581879502782512,0.07321359221033082
350,0.20915999999999998,-0.20555727439668434,0.038097736325091947
351,0.20915999999999998,-0.20905,0.0018243000000000254
352,0.20915999999999998,-0.20619084713771987,-0.034504566757451643
353,0.20915999999999998,-0.19706668972276317,-0.06978502971413131
354,0.20915999999999998,-0.1819547606611369,-0.10294510985587609
355,0.20915999999999998,-0.1613142282703735,-0.1329772549273891
356,0.20915999999999998,-0.13577224468255303,-0.1589689533976712
357,0.20915999999999998,-0.10610489014412405,-0.1801304606611369
358,0.20915999999999998,-0.07321359221033075,-0.19581879502782515
359,0.20915999999999998,-0.03809773632509196,-0.20555727439668434
360,0.20915999999999998,-0.0018243000000000382,-0.20905
361,0.20915999999999998,0.03450456675745154,-0.2061908471377199
362,0.20915999999999998,0.06978502971413138,-0.19706668972276314
363,0.20915999999999998,0.10294510985587609,-0.1819547606611369
364,0.20915999999999998,0.1329772549273891,-0.16131422827037353
365,0.20915999999999998,0.15896895339767117,-0.13577224468255306
366,0.20915999999999998,0.18013046066113686,-0.10610489014412405
367,0.20915999999999998,0.19581879502782515,-0.07321359221033076
368,0.20915999999999998,0.20555727439668434,-0.038097736325091974
369,0.20915999999999998,0.20905,-0.001824300000000051
370,0.21706,0.20889000000000002,0.0018229
371,0.21706,0.2053999482636511,0.03806857388581103
372,0.21706,0.19566892303670005,0.07315755341772957
373,0.21706,0.1799925965965314,0.10602367770855865
374,0.21706,0.15884728618942573,0.1356683262027828
375,0.21706,0.13287548137205962,0.1611907612568209
376,0.21706,0.10286632229144138,0.1818154965965314
377,0.21706,0.06973162206086835,0.1969158600752368
378,0.21706,0.03447816177987915,0.20603303478978918
379,0.21706,-0.0018228999999999871,0.20889000000000002
380,0.21706,-0.03806857388581102,0.2053999482636511
381,0.21706,-0.07315755341772957,0.19566892303670005
382,0.21706,-0.10602367770855863,0.1799925965965314
383,0.21706,-0.1356683262027828,0.15884728618942573
384,0.21706,-0.1611907612568209,0.13287548137205965
385,0.21706,-0.18181549659653143,0.10286632229144134
386,0.21706,-0.1969158600752368,0.06973162206086835
387,0.21706,-0.20603303478978918,0.03447816177987912
388,0.21706,-0.20889000000000002,-0.0018228999999999743
389,0.21706,-0.2053999482636511,-0.03806857388581106
390,0.21706,-0.19566892303670005,-0.07315755341772956
391,0.21706,-0.17999259659653138,-0.1060236777085587
392,0.21706,-0.15884728618942573,-0.1356683262027828
393,0.21706,-0.13287548137205965,-0.1611907612568209
394,0.21706,-0.10286632229144145,-0.18181549659653137
395,0.21706,-0.06973162206086828,-0.1969158600752368
396,0.21706,-0.03447816177987913,-0.20603303478978918
397,0.21706,0.0018228999999999615,-0.20889000000000002
398,0.21706,0.038068573885810954,-0.20539994826365113
