temperature,pressure
587.959,581.722
586.144,574.176
587.561,580.319
587.446,579.912
587.159,578.908
587.167,578.929
587.167,578.929
586.195,575.442
586.837,577.772
586.875,577.903
586.827,577.732
586.187,574.722
586.544,576.739
586.685,577.233
586.529,576.685
586.927,578.072
586.757,577.477
586.961,575.858
586.369,575.912
586.409,576.184
586.712,577.311
586.784,577.574
586.957,576.24
586.737,577.397
586.561,576.783
586.688,577.22
586.547,576.442
586.556,576.509
586.509,576.524
586.585,576.864
586.744,576.739
586.613,576.957
586.561,576.78
586.54,576.702
586.573,576.722
586.548,576.733
586.582,576.847
586.56,576.774
586.567,576.771
586.567,576.771
586.561,576.78
586.566,576.792
597.063,606.735
596.108,603.679
597.509,608.103
596.108,603.679
594.429,603.549
593.5,600.062
593.5,600.062
593.75,601.014
592.351,597.102
595.706,605.304
594.212,602.75
591.908,595.601
593.684,601.429
592.251,596.853
594.322,603.154
596.543,607.887
593.185,600.166
594.535,603.932
593.396,600.965
593.676,601.898
593.323,600.792
595.078,604.936
595.517,606.416
595.517,606.416
593.441,601.261
595.616,606.723
593.481,601.398
595.7,606.974
595.8,607.242
596.643,608.091
594.765,605.292
592.692,598.586
593.928,602.877
595.815,607.225
595.815,607.225
593.148,600.212
594.793,605.321
595.815,607.225
593.609,601.795
592.618,598.326
592.873,599.226
597.749,607.978
595.71,606.823
592.589,598.211
593.813,602.317
592.825,599.021
594.889,604.889
596.086,606.197
592.441,597.668
593.071,599.833
592.582,598.147
594.753,604.407
595.643,604.77
593.717,601.419
592.807,598.826
595.347,603.822
591.771,595.281
591.86,595.592
591.903,595.71
594.974,602.696
424.551,240.75
585.031,562.435
507.5,367.763
527.872,398.879
542.837,425.329
545.188,432.362
546.016,435.209
545.704,433.921
542.849,434.969
548.874,446.502
551.176,451.674
551.529,452.938
552.006,453.943
558.928,476.06
562.709,489.451
567.249,505.633
573.994,527.57
571.908,521.313
573.546,527.081
570.732,518.08
571.932,522.155
576.222,537.074
581.574,555.237
581.818,557.26
580.044,551.453
583.255,562.873
581.482,556.866
582.465,560.372
585.877,572.078
585.877,572.078
588.458,578.307
586.184,573.947
587.907,578.916
588.071,580.765
591.184,588.643
588.747,583.408
588.316,582.115
589.064,584.818
589.518,586.304
591.217,591.421
591.543,592.643
591.847,593.804
590.903,591.623
590.903,591.623
593.542,597.499
593.845,598.554
592.008,595.316
590.601,590.714
591.776,594.678
591.243,592.966
594.092,599.445
592.699,597.644
591.904,595.511
493.725,314.746
504.115,328.169
503.012,326.029
510.295,336.069
508.364,333.685
504.697,329.342
511.012,337.896
509.34,335.859
511.449,338.928
505.306,330.597
511.323,339.062
507.332,334.929
513.048,343.262
513.57,344.264
514.868,347.509
515.609,349.477
516.369,351.44
511.492,344.324
517.972,355.539
505.359,338.122
487.349,314.128
509.122,346.337
520.6,362.41
521.591,365.261
523.469,370.38
472.593,301.498
512.306,362.102
529.788,387.633
512.306,362.102
532.021,393.964
502.436,351.565
525.768,388.231
533.71,401.759
530.383,398.088
537.875,410.651
287.208,64.3511
476.91,285.314
461.308,265.457
374.848,164.323
489.562,302.289
426.072,223.307
444.957,245.616
500.445,317.61
500.445,317.61
499.161,315.746
499.868,316.766
383.622,174.758
451.103,253.335
496.86,312.476
481.437,291.496
483.519,294.366
483.519,294.366
498.631,315.054
493.858,308.415
493.858,308.415
364.157,153.18
294.752,74.4178
386.568,178.238
485.479,297.08
472.216,279.782
502.016,319.867
457.088,260.893
487.313,299.631
457.088,260.893
487.313,299.631
502.441,320.49
460.007,264.598
414.715,210.45
487.313,299.631
501.599,319.291
366.894,156.389
366.894,156.389
460.007,264.598
302.698,84.5609
497.15,313.176
417.838,214.163
283.972,62.989
497.15,313.176
444.896,246.204
481.603,292.325
501.264,318.963
503.774,322.549
503.774,322.549
349.362,137.089
483.668,295.112
304.428,86.7015
503.221,321.77
451.037,253.773
427.254,225.397
430.407,229.178
503.536,322.267
354.415,142.937
487.435,300.223
473.578,282.05
404.557,199.33
433.563,232.973
407.622,202.907
476.033,285.256
457.046,261.263
407.622,202.907
356.976,145.88
478.382,288.344
490.714,304.697
501.452,319.471
410.708,206.513
436.72,236.784
413.816,210.145
480.622,291.308
501.949,320.196
492.175,306.701
439.875,240.605
480.622,291.308
462.865,268.606
443.021,244.435
362.174,151.823
493.521,308.556
446.154,248.265
484.748,296.823
446.154,248.265
471.081,279.156
449.266,252.091
500.741,318.555
505.047,324.668
452.35,255.901
501.316,319.376
504.627,324.072
398.455,192.724
253.648,28.8487
497.857,314.601
476.11,285.719
501.835,320.119
503.803,322.9
476.11,285.719
501.835,320.119
375.706,167.189
323.434,109.018
458.4,263.437
404.571,199.764
432.857,232.586
347.647,135.922
432.857,232.586
352.562,141.452
407.677,203.353
355.078,144.272
410.814,206.988
439.281,240.283
442.485,244.155
357.625,147.133
480.707,291.783
482.829,294.604
464.227,270.782
484.828,297.275
467.032,274.351
500.819,318.798
484.828,297.275
390.152,183.584
268.294,46.3994
472.378,281.219
488.452,302.147
472.378,281.219
451.97,255.766
498.347,315.489
448.838,251.907
420.389,218.162
498.347,315.489
498.347,315.489
474.902,284.491
477.315,287.64
477.315,287.64
399.284,194.004
340.909,128.624
499.894,317.653
405.553,201.201
492.974,308.28
479.612,290.654
258.259,35.6462
483.838,296.249
491.585,306.388
436.681,237.509
405.553,201.201
504.941,324.665
481.787,293.527
506.222,326.486
494.251,310.025
463.977,270.815
463.977,270.815
439.941,241.441
501.711,320.21
506.31,326.657
487.562,301.231
260.422,38.32
415.194,212.362
498.356,315.683
474.677,284.584
498.356,315.683
506.389,326.815
504.84,324.602
505.673,325.783
499.901,317.837
503.428,322.656
360.987,150.986
479.372,290.731
505.888,326.123
280.363,60.9231
506.379,326.854
500.569,318.774
