"origId","d","T","d_nm","Points:0","Points:1","Points:2"
2782,2e-08,500,20,20.272,0.2951,-4.0868e-10
2881,2e-08,500,20,20.233,0.33609,-1.3031e-09
2649,2e-08,500,20,20.272,0.62641,-2.7713e-09
2478,1.7912e-06,500,1791.2,20.437,1.1115,-2.1062e-09
2852,2e-08,500,20,20.206,0.49372,1.8656e-09
2760,8.7857e-07,500,878.57,20.358,1.1744,-5.138e-10
2892,2e-08,500,20,19.961,1.4426e-06,-9.6346e-16
2762,2e-08,500,20,20.037,0.023958,-1.585e-10
2831,2e-08,500,20,19.85,7.2778e-07,4.8604e-16
2937,2e-08,500,20,20.155,0.051036,-2.967e-11
2862,2e-08,500,20,19.774,1.62e-06,-3.316e-16
2738,1.285e-06,500,1285,19.759,0.8432,7.0962e-10
2698,2e-08,500,20,19.6,0.58138,9.1054e-10
2864,2e-08,500,20,19.847,0.023275,-7.7656e-11
2938,2e-08,500,20,19.667,0.22165,-3.273e-11
2795,2e-08,500,20,19.689,0.50517,-1.973e-09
2685,2e-08,500,20,19.621,0.5326,-2.1406e-09
2851,2e-08,500,20,19.688,0.21405,-1.7006e-10
2907,2e-08,500,20,19.627,0.01031,-6.8981e-11
2746,2e-08,500,20,19.626,0.12784,-5.3969e-10
2854,2e-08,500,20,19.574,0.17507,4.2306e-10
2670,2e-08,500,20,19.579,0.60313,-5.8338e-10
2790,2e-08,500,20,19.523,0.37535,-1.6458e-10
2255,2.0833e-07,500,208.33,19.364,12.496,-7.6786e-08
2587,1.585e-07,500,158.5,19.848,5.6563,1.9187e-08
2857,2e-08,500,20,19.421,0.75048,3.3769e-10
2904,2e-08,500,20,19.451,0.62707,-1.9628e-09
2625,9.3327e-07,500,933.27,19.773,1.1807,-5.0069e-10
2872,2e-08,500,20,19.472,0.75077,7.1621e-10
2867,2e-08,500,20,19.404,0.076088,-1.9981e-11
2853,2e-08,500,20,19.415,0.7681,-4.1098e-10
2168,1.2565e-06,500,1256.5,19.689,1.0764,-1.2792e-09
2652,2e-08,500,20,19.403,0.3274,1.3311e-09
2640,2e-08,500,20,19.368,0.21016,9.2039e-10
2950,2e-08,500,20,19.392,0.18688,3.4397e-10
2913,2e-08,500,20,19.366,1.4102e-06,-4.8898e-16
2769,2.2471e-07,500,224.71,19.513,1.077,-6.6446e-09
2939,2e-08,500,20,19.307,0.051683,-1.1082e-10
2928,2e-08,500,20,19.353,1.7859e-06,-6.1922e-16
2957,2e-08,500,20,19.328,3.2459e-07,-1.1255e-16
2873,2e-08,500,20,19.301,0.14165,8.2986e-10
2826,2e-08,500,20,19.311,0.32759,-3.278e-10
2787,1.261e-07,500,126.1,19.578,7.4887,-1.5987e-08
2942,2e-08,500,20,19.348,0.31354,1.156e-09
2844,2e-08,500,20,19.206,0.49443,-3.2816e-10
2915,2e-08,500,20,19.204,1.1398e-06,2.8209e-16
2859,2e-08,500,20,19.19,0.094555,-3.1719e-10
2903,2e-08,500,20,19.127,0.45322,-8.8434e-10
2900,1.3391e-06,500,1339.1,19.366,0.96417,3.7435e-09
2927,2e-08,500,20,19.162,0.21999,2.3194e-10
2877,2e-08,500,20,19.129,1.9195e-06,-4.7504e-16
2643,2e-08,500,20,19.175,0.10321,2.5829e-10
2764,2e-08,500,20,19.05,0.27531,-2.1338e-11
2878,2e-08,500,20,19.065,0.24341,6.9459e-10
